representation,selected_order,positive_trials,positives_detected,sensitivity,control_trials,controls_false_positive,false_positive_rate,source_rank1_rate,positive_median_margin_bpt,max_control_family_fpr,eligible_for_inferred_mapping
word12,2,48,1,0.0208333333,480,52,0.1083333333,0.9583333333,0.0701536372,0.4791666667,0
initial,1,48,0,0.0000000000,480,41,0.0854166667,0.9791666667,0.1593646179,0.2708333333,0
char,5,48,0,0.0000000000,480,39,0.0812500000,0.9791666667,0.3718374177,0.3125000000,0
syllable,4,48,0,0.0000000000,480,34,0.0708333333,0.9583333333,0.3353171088,0.2708333333,0
bpe,5,48,13,0.2708333333,480,28,0.0583333333,0.9375000000,0.5303362832,0.1875000000,0
word,4,48,1,0.0208333333,480,33,0.0687500000,0.4791666667,-0.1637949687,0.2500000000,0
