corpus,family,group,section,representation,window_id,start,end,n_events,n_chars,mean_event_len,sd_event_len,cv_event_len,median_event_len,max_event_len,single_char_frac,length_entropy,length_autocorr1,length_change_rate,char_inventory,event_inventory,type_token_ratio,hapax_type_frac,top_event_mass,same_adjacent_event_rate,char_H0,char_H1,char_H2,char_RED1,char_RED2,char_H0_norm,char_H1_norm,event_H0,event_H1,event_RED1,first_char_H,last_char_H,first_inventory,last_inventory,first_last_MI,position_char_MI,mean_prefix_overlap,mean_suffix_overlap,mean_distinct_chars_per_event,distinct_char_ratio,digit_frac,uppercase_frac,punct_frac,space_like_boundary_rate
Ammerbach,organ_tablature,ammerbach_bookA,,flattened,ammerbach_bookA:0:0,0,48,48.0,120.0,2.5,0.7905694150420949,0.31622776601683794,2.0,4.0,0.0,1.1994602933016414,0.3948497854077254,0.3191489361702128,11.0,10.0,0.20833333333333334,0.3,0.20833333333333334,0.23404255319148937,2.8895323570297418,1.347152454094421,0.0,0.5337818416128728,1.0,0.8352621689247194,0.38941439016652024,2.892079563925711,1.4189352326785705,0.5093719929501155,0.9987472979361685,1.8955734405551428,2.0,4.0,0.5293863601657347,1.2858892699304931,0.5726950354609929,0.2943262411347518,2.3125,0.925,0.0,0.0,0.0,0.4
Ammerbach,organ_tablature,ammerbach_bookA,,flattened,ammerbach_bookA:1:24,24,72,48.0,121.0,2.5208333333333335,0.7902948640996107,0.3135054006345563,2.0,4.0,0.0,1.2478623034839886,0.3779528527366138,0.3404255319148936,13.0,12.0,0.25,0.3333333333333333,0.1875,0.3191489361702128,3.061155014440436,1.4726374626007215,0.0,0.5189275108075792,1.0,0.8272408815183186,0.39796283003375005,3.1849550116370327,1.2796108393633252,0.5982326799945539,0.9886994082884974,2.3129327978797973,2.0,6.0,0.6438223801313963,1.2591267034696467,0.6365248226950354,0.36879432624113473,2.3333333333333335,0.9256198347107438,0.0,0.0,0.0,0.396694214876033
Ammerbach,organ_tablature,ammerbach_bookA,,flattened,ammerbach_bookA:2:48,48,96,48.0,113.0,2.3541666666666665,0.47826001180204153,0.20315469527874333,2.0,3.0,0.0,0.9377342939868041,0.487124707552812,0.23404255319148937,15.0,14.0,0.2916666666666667,0.5,0.1875,0.2553191489361702,3.179359563677456,1.781220364431836,0.0,0.4397549793419529,1.0,0.8137825940790784,0.45591764623099246,3.364786979256811,1.2244441493964826,0.6361005445679273,0.9949848281859701,2.308469804168527,2.0,6.0,0.6697839849685372,1.3692452658903358,0.5921985815602837,0.3297872340425532,2.3541666666666665,1.0,0.0,0.0,0.0,0.42477876106194695
Ammerbach,organ_tablature,ammerbach_bookA,,flattened,ammerbach_bookA:3:72,72,120,48.0,119.0,2.4791666666666665,0.49956578367840826,0.20150552618961007,2.0,3.0,0.0,0.9987472979361685,0.40398550724637655,0.2978723404255319,15.0,14.0,0.2916666666666667,0.42857142857142855,0.16666666666666666,0.1702127659574468,3.130075638477453,1.6424945870075478,0.0,0.4752540268303234,1.0,0.8011679779300109,0.4204096702512655,3.360568752113511,1.4501642953421232,0.5684765281382523,0.954434002924965,1.953784953026908,2.0,6.0,0.6096823069532356,1.429442781787022,0.524822695035461,0.2836879432624113,2.4791666666666665,1.0,0.0,0.0,0.0,0.40336134453781514
Ammerbach,organ_tablature,ammerbach_bookA,,flattened,ammerbach_bookA:4:96,96,144,48.0,107.0,2.2291666666666665,0.46724294775012093,0.20960431300940005,2.0,4.0,0.0,0.8359922814745508,0.1635827754362391,0.23404255319148937,14.0,14.0,0.2916666666666667,0.5,0.25,0.3404255319148936,3.100282866720602,1.7952681457772115,0.0,0.4209340815161814,1.0,0.8142878534279436,0.4715263437554692,3.264999033298422,1.400690617041719,0.5709981526007712,0.954434002924965,2.5883565511980575,2.0,8.0,0.588137290662929,1.2371725218537635,0.648936170212766,0.3829787234042553,2.2291666666666665,1.0,0.0,0.0,0.0,0.44859813084112155
Ammerbach,organ_tablature,ammerbach_bookA,,flattened,ammerbach_bookA:5:120,120,168,48.0,105.0,2.1875,0.44046613566387444,0.2013559477320569,2.0,4.0,0.0,0.7406164955149536,0.029816513761467867,0.2553191489361702,14.0,13.0,0.2708333333333333,0.23076923076923078,0.1875,0.2978723404255319,3.1407266718555786,2.2128989856831027,0.0,0.29541815736047616,1.0,0.8249104000417801,0.5812168896739441,3.392079563925711,1.4741321811732826,0.5654193383756468,0.9377342939868041,2.9306720573465315,2.0,10.0,0.551527630625058,1.2220796016192232,0.6205673758865248,0.33333333333333337,2.1875,1.0,0.0,0.0,0.0,0.45714285714285713
Ammerbach,organ_tablature,ammerbach_bookA,,flattened,ammerbach_bookA:6:144,144,192,48.0,102.0,2.125,0.33071891388307384,0.15563243006262298,2.0,3.0,0.0,0.5435644431995964,0.23577235772357788,0.1702127659574468,14.0,13.0,0.2708333333333333,0.3076923076923077,0.1875,0.2978723404255319,3.1062872358395484,2.105776291645524,0.0,0.3220922175677719,1.0,0.8158648981852266,0.5530811638930425,3.325739000487494,1.4645337773782756,0.5596365868868239,0.9886994082884974,2.9326264846546635,2.0,10.0,0.663193402827261,1.1555173303156732,0.6312056737588652,0.3226950354609929,2.125,1.0,0.0,0.0,0.0,0.47058823529411764
Ammerbach,organ_tablature,ammerbach_bookA,,flattened,ammerbach_bookA:7:168,168,216,48.0,98.0,2.0416666666666665,0.1998263134713633,0.09787411272066773,2.0,3.0,0.0,0.24988229283318544,-0.044444444444444474,0.0851063829787234,13.0,13.0,0.2708333333333333,0.3076923076923077,0.22916666666666666,0.23404255319148937,2.862715245656402,2.070573636022119,0.0,0.27670988612513925,1.0,0.7736148846371373,0.5595479980044823,3.2119995999508526,1.465588706985547,0.543714542489989,0.954434002924965,2.8834829503178696,2.0,11.0,0.6259173532919822,0.9625110236599119,0.6063829787234043,0.24468085106382978,2.0416666666666665,1.0,0.0,0.0,0.0,0.489795918367347
Ammerbach,organ_tablature,ammerbach_bookA,,flattened,ammerbach_bookA:8:192,192,240,48.0,98.0,2.0416666666666665,0.1998263134713633,0.09787411272066773,2.0,3.0,0.0,0.24988229283318544,-0.044444444444444495,0.0851063829787234,14.0,14.0,0.2916666666666667,0.14285714285714285,0.16666666666666666,0.0851063829787234,2.971303722365515,2.640936260068682,0.0,0.11118602915282617,1.0,0.780411541133585,0.6936406807699041,3.5936331481071164,1.5921047111342645,0.5569651532258161,0.8426578772022391,3.2499649009946707,2.0,12.0,0.4989896300897936,0.9667537901874366,0.5212765957446809,0.10638297872340426,2.0416666666666665,1.0,0.0,0.0,0.0,0.489795918367347
Ammerbach,organ_tablature,ammerbach_bookA,,flattened,ammerbach_bookA:9:216,216,264,48.0,101.0,2.1041666666666665,0.3054766312211496,0.14517701285757606,2.0,3.0,0.0,0.4820661480830931,0.10476190476190485,0.1702127659574468,15.0,16.0,0.3333333333333333,0.4375,0.1875,0.1276595744680851,3.036637056696762,2.165661949007324,0.4,0.2868222614120637,0.8152989665892462,0.777251623096395,0.55431855487369,3.545099938257928,1.32210564866846,0.6270611064019407,0.9987472979361685,3.07878151387746,2.0,13.0,0.532428873555701,1.0234586067810096,0.549645390070922,0.14893617021276595,2.1041666666666665,1.0,0.0,0.0,0.0,0.4752475247524753
