section,types,voynich_distinct_pairs,matteo_pairs_mean,matteo_pairs_max20,pair_ratio,z_pair_count,v_prefix,v_internal,v_suffix,m_prefix,m_internal,m_suffix,edit_location_tv,h_next_prev,right_minus_left
Stars,3121,8794,5409.65,5862,1.63,20.4,0.322606,0.486695,0.190698,0.311281,0.501094,0.187625,0.014,2.3373,0.0168
Herbal-A,2812,7832,4476.90,4631,1.75,38.5,0.318309,0.467058,0.214632,0.315851,0.494792,0.189357,0.028,2.3978,-0.1199
missing,2494,6099,3684.95,3876,1.66,18.8,0.283325,0.529595,0.187080,0.313291,0.497247,0.189462,0.032,2.4370,-0.1182
Balneological,1406,3702,1288.05,1410,2.87,36.7,0.413290,0.448136,0.138574,0.322327,0.483498,0.194175,0.091,2.3043,-0.0291
text-only,907,1745,562.35,657,3.10,26.9,0.369628,0.442407,0.187966,0.315465,0.495165,0.189370,0.054,2.3123,-0.1016
Pharmaceutical,566,786,226.90,294,3.46,19.8,0.272265,0.451654,0.276081,0.311469,0.492834,0.195697,0.080,2.2588,-0.0877
Herbal-B,437,563,140.80,196,4.00,18.5,0.328597,0.415631,0.255773,0.313513,0.477843,0.208644,0.062,2.1875,-0.2339
Cosmological,249,391,48.90,83,8.00,30.7,0.557545,0.250639,0.191816,0.328460,0.487614,0.183926,0.237,2.1623,-0.0558
Zodiac,223,169,38.65,61,4.37,15.1,0.331361,0.467456,0.201183,0.323177,0.463967,0.212856,0.012,2.0507,-0.0957
