folio_number,folio_id,extant,extant_gathering_index,historical_quire_mark,physical_bifolium_id,bifolium_position_outer_to_inner,bifolium_side,gathering_structure,pairing_confidence
78,f78,True,13,13,g13_b04,4,A,five_nested_bifolia,direct
79,f79,True,13,13,g13_b05,5,A,five_nested_bifolia,direct
80,f80,True,13,13,g13_b05,5,B,five_nested_bifolia,direct
81,f81,True,13,13,g13_b04,4,B,five_nested_bifolia,direct
82,f82,True,13,13,g13_b03,3,B,five_nested_bifolia,direct
83,f83,True,13,13,g13_b02,2,B,five_nested_bifolia,direct
84,f84,True,13,13,g13_b01,1,B,five_nested_bifolia,direct
85,f85,True,14,14,g14_b01,1,A,single_six_panel_foldout_bifolium,direct
86,f86,True,14,14,g14_b01,1,B,single_six_panel_foldout_bifolium,direct
87,f87,True,15,15,g15_b01,1,A,two_nested_bifolia_with_foldouts,direct
88,f88,True,15,15,g15_b02,2,A,two_nested_bifolia_with_foldouts,direct
89,f89,True,15,15,g15_b02,2,B,two_nested_bifolia_with_foldouts,direct
90,f90,True,15,15,g15_b01,1,B,two_nested_bifolia_with_foldouts,direct
91,f91,False,,,unresolved_missing_91,,,missing_before_current_collation,unresolved_not_used
92,f92,False,,,unresolved_missing_92,,,missing_before_current_collation,unresolved_not_used
93,f93,True,16,17,g16_b01,1,A,two_extant_nested_bifolia,direct
94,f94,True,16,17,g16_b02,2,A,two_extant_nested_bifolia,direct
95,f95,True,16,17,g16_b02,2,B,two_extant_nested_bifolia,direct
96,f96,True,16,17,g16_b01,1,B,two_extant_nested_bifolia,direct
97,f97,False,,,unresolved_missing_97,,,missing_before_current_collation,unresolved_not_used
98,f98,False,,,unresolved_missing_98,,,missing_before_current_collation,unresolved_not_used
99,f99,True,17,19,g17_b01,1,A,two_nested_foldout_bifolia,direct
100,f100,True,17,19,g17_b02,2,A,two_nested_foldout_bifolia,direct
101,f101,True,17,19,g17_b02,2,B,two_nested_foldout_bifolia,direct
102,f102,True,17,19,g17_b01,1,B,two_nested_foldout_bifolia,direct
103,f103,True,18,20,g18_b01,1,A,seven_bifolia_central_missing,direct_plus_inferred_missing
104,f104,True,18,20,g18_b02,2,A,seven_bifolia_central_missing,direct_plus_inferred_missing
105,f105,True,18,20,g18_b03,3,A,seven_bifolia_central_missing,direct_plus_inferred_missing
106,f106,True,18,20,g18_b04,4,A,seven_bifolia_central_missing,direct_plus_inferred_missing
107,f107,True,18,20,g18_b05,5,A,seven_bifolia_central_missing,direct_plus_inferred_missing
108,f108,True,18,20,g18_b06,6,A,seven_bifolia_central_missing,direct_plus_inferred_missing
109,f109,False,18,20,g18_b07,7,A,seven_bifolia_central_missing,direct_plus_inferred_missing
110,f110,False,18,20,g18_b07,7,B,seven_bifolia_central_missing,direct_plus_inferred_missing
111,f111,True,18,20,g18_b06,6,B,seven_bifolia_central_missing,direct_plus_inferred_missing
112,f112,True,18,20,g18_b05,5,B,seven_bifolia_central_missing,direct_plus_inferred_missing
113,f113,True,18,20,g18_b04,4,B,seven_bifolia_central_missing,direct_plus_inferred_missing
114,f114,True,18,20,g18_b03,3,B,seven_bifolia_central_missing,direct_plus_inferred_missing
115,f115,True,18,20,g18_b02,2,B,seven_bifolia_central_missing,direct_plus_inferred_missing
116,f116,True,18,20,g18_b01,1,B,seven_bifolia_central_missing,direct_plus_inferred_missing
