rank,score,manuscript_id,folio_label,canvas_index,region_url,search_url,work_id,x,y,w,h,rotation_deg,base_width
31,0.42702417920711166,arch_vat_borgh_225,116v,235,"https://digi.vatlib.it/iiifimage/MSS_Borgh.225/Borgh.225_0236_fa_0116v.jp2/178,179,691,510/full/600,/0/default.jpg","https://digi.vatlib.it/iiifimage/MSS_Borgh.225/Borgh.225_0236_fa_0116v.jp2/full/768,/0/default.jpg",322709,114,101,145,107,0.0,145
32,0.42716246703652555,zeg_paris_bibliotheque_sainte_genevieve_ms_1273,f. 029,71,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vnycy0hi7a5u/79,470,891,624/full/600,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vnycy0hi7a5u/full/768,/0/default.jpg",556226,75,171,150,105,5.0,145
33,0.42736742997434474,acq:68ef9516-68c1-45d9-a5a9-5b27c1cee9fd,587,586,"https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00015064%2F11%EF%BC%8612%2FRB00015064_00587_0.ptif/618,2527,2079,1535/full/600,/0/default.jpg","https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00015064%2F11%EF%BC%8612%2FRB00015064_00587_0.ptif/full/768,/0/default.jpg",93280,124,337,145,107,0.0,145
34,0.42749818949011287,acq:3830f261-e738-4fb6-9be9-a9eaed90e64e,front cover,0,"https://iiif-cloud.princeton.edu/iiif/2/90%2F8a%2Fc9%2F908ac93901ce4b0fa0d0f74ece1f09be%2Fintermediate_file/0,3972,1229,860/full/600,/0/default.jpg","https://iiif-cloud.princeton.edu/iiif/2/90%2F8a%2Fc9%2F908ac93901ce4b0fa0d0f74ece1f09be%2Fintermediate_file/full/768,/0/default.jpg",55049,37,861,150,105,5.0,145
35,0.4275050188538247,herb_6bfd65319273,NP,107,"https://gallica.bnf.fr/iiif/ark:/12148/btv1b9068099k/f108/4172,947,2790,2060/full/600,/0/default.jpg","https://gallica.bnf.fr/iiif/ark:/12148/btv1b9068099k/f108/full/768,/0/default.jpg",420488,419,121,145,107,0.0,145
36,0.4275207341135879,mn_munchen_bayerische_staatsbibliothek_clm_10094,(0286),285,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00112103_00286/11,199,433,318/full/600,/0/default.jpg","https://api.digitale-sammlungen.de/iiif/image/v2/bsb00112103_00286/full/768,/0/default.jpg",487853,57,150,145,107,0.0,145
37,0.4275410775601668,acq:61168b29-40b2-49ec-ba86-859aa436b6de,690,689,"https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00009453%2F15%2FRB00009453_00690_0.ptif/1773,571,986,726/full/600,/0/default.jpg","https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00009453%2F15%2FRB00009453_00690_0.ptif/full/768,/0/default.jpg",88828,494,180,145,107,0.0,145
38,0.4275768945705546,acq:71109ce9-6ded-4521-8c45-24b9a2532335,1916,1915,"https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00008743%2F17%2FRB00008743_01916_0.ptif/1757,379,986,726/full/600,/0/default.jpg","https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00008743%2F17%2FRB00008743_01916_0.ptif/full/768,/0/default.jpg",102436,490,132,145,107,0.0,145
39,0.427603643372424,vat_gr_1059,15,14,"https://digi.vatlib.it/iiifimage/MSS_Vat.gr.1059/Vat.gr.1059_0015.jp2/1429,601,823,608/full/600,/0/default.jpg","https://digi.vatlib.it/iiifimage/MSS_Vat.gr.1059/Vat.gr.1059_0015.jp2/full/768,/0/default.jpg",539269,478,217,145,107,0.0,145
40,0.42761421563008306,zeg_chaumont_bibliotheque_municipale_ms_32,f. 004v - vue 1,21,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vgifgo1vmg9k/0,2526,672,497/full/600,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vgifgo1vmg9k/full/768,/0/default.jpg",550177,44,961,145,107,0.0,145
41,0.42762287621175865,acq:e3fed553-8107-4536-9376-b650a7fd7755,image 147,146,"https://iiif-cloud.princeton.edu/iiif/2/ac%2F33%2F2a%2Fac332afa157944aa8e68df108b64c39f%2Fintermediate_file/421,400,1876,1385/full/600,/0/default.jpg","https://iiif-cloud.princeton.edu/iiif/2/ac%2F33%2F2a%2Fac332afa157944aa8e68df108b64c39f%2Fintermediate_file/full/768,/0/default.jpg",197453,106,90,145,107,0.0,145
42,0.4276547593248585,merlon_beinecke_ms_327_venice,[Fore-edge],145,"https://collections.library.yale.edu/iiif/2/14892487/414,4052,308,216/full/600,/0/default.jpg","https://collections.library.yale.edu/iiif/2/14892487/full/768,/0/default.jpg",434285,392,3368,150,105,5.0,145
43,0.42769420339747616,arc_barb_lat_2733_pt_1,taglio.inferiore,605,"https://digi.vatlib.it/iiifimage/MSS_Barb.lat.2733.pt.1/Barb.lat.2733.pt.1_0606_yn_taglio.inferiore.jp2/401,1764,469,347/full/600,/0/default.jpg","https://digi.vatlib.it/iiifimage/MSS_Barb.lat.2733.pt.1/Barb.lat.2733.pt.1_0606_yn_taglio.inferiore.jp2/full/768,/0/default.jpg",229328,260,960,145,107,0.0,145
44,0.427797402455822,acq:e3fed553-8107-4536-9376-b650a7fd7755,image 116,115,"https://iiif-cloud.princeton.edu/iiif/2/44%2Fb9%2F59%2F44b959a1ccbe475eb60b6a31f8b7c91e%2Fintermediate_file/495,1499,1531,1069/full/600,/0/default.jpg","https://iiif-cloud.princeton.edu/iiif/2/44%2Fb9%2F59%2F44b959a1ccbe475eb60b6a31f8b7c91e%2Fintermediate_file/full/768,/0/default.jpg",197419,107,227,119,83,5.0,115
45,0.427988502554177,acq:02395a56-6ac4-43b6-a3db-9f11cfe13f7f,Representative thumbnail,-2,,https://digi.vatlib.it/pub/digit/MSS_Pal.lat.1125/cover/cover.jpg,2870,13,145,145,107,0.0,145
46,0.42800341529484753,arch_cod_sang_931,Head,294,"https://www.e-codices.unifr.ch/loris/csg/csg-0931/csg-0931_e007.jp2/2190,6058,1968,1450/full/600,/0/default.jpg","https://www.e-codices.unifr.ch/loris/csg/csg-0931/csg-0931_e007.jp2/full/768,/0/default.jpg",318253,325,796,145,107,0.0,145
47,0.42807690059426795,zod_besan_on_biblioth_que_municipale_ms_69,p. 595 - vue 1,147,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vc02lr61twzb/1445,387,672,497/full/600,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vc02lr61twzb/full/768,/0/default.jpg",562958,579,179,145,107,0.0,145
48,0.42815371074574005,herb_6bfd65319273,NP,109,"https://gallica.bnf.fr/iiif/ark:/12148/btv1b9068099k/f110/3937,4122,2794,2061/full/600,/0/default.jpg","https://gallica.bnf.fr/iiif/ark:/12148/btv1b9068099k/f110/full/768,/0/default.jpg",420490,398,401,145,107,0.0,145
49,0.4281610526459576,arch_vat_lat_2414,taglio.centrale,443,"https://digi.vatlib.it/iiifimage/MSS_Vat.lat.2414/Vat.lat.2414_0444_yl_taglio.centrale.jp2/290,242,268,197/full/600,/0/default.jpg","https://digi.vatlib.it/iiifimage/MSS_Vat.lat.2414/Vat.lat.2414_0444_yl_taglio.centrale.jp2/full/768,/0/default.jpg",329888,316,258,145,107,0.0,145
50,0.42816537489825535,acq:0f1c1f9c-0ac1-43f7-a60c-2ae8f30a9af3,109,108,"https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00033956%2FRB00033956_00109_0.ptif/1802,912,2788,2056/full/600,/0/default.jpg","https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00033956%2FRB00033956_00109_0.ptif/full/768,/0/default.jpg",15753,210,118,145,107,0.0,145
51,0.42825796667456584,pal_lat_126,taglio.inferiore,891,"https://digi.vatlib.it/iiifimage/MSS_Pal.lat.126/Pal.lat.126_0892_yn_taglio.inferiore.jp2/280,119,454,336/full/600,/0/default.jpg","https://digi.vatlib.it/iiifimage/MSS_Pal.lat.126/Pal.lat.126_0892_yn_taglio.inferiore.jp2/full/768,/0/default.jpg",524370,202,102,145,107,0.0,145
52,0.428276720915184,acq:56986028-1320-434b-9c48-6664c835d646,image 387,386,"https://iiif-cloud.princeton.edu/iiif/2/c5%2Ffc%2F67%2Fc5fc6721f0d84023ad9a85015f24695a%2Fintermediate_file/2858,636,1585,1109/full/600,/0/default.jpg","https://iiif-cloud.princeton.edu/iiif/2/c5%2Ffc%2F67%2Fc5fc6721f0d84023ad9a85015f24695a%2Fintermediate_file/full/768,/0/default.jpg",77961,512,139,150,105,5.0,145
53,0.4283132121497579,mn_amiens_bibliotheque_municipale_lescalopier_017,f.,233,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vzxaxkx3ayft/1995,0,1065,745/full/600,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vzxaxkx3ayft/full/768,/0/default.jpg",438543,530,0,150,105,5.0,145
54,0.42833794272087533,acq:8b81c61f-bab4-4c19-b278-7b314c261a3f,head,664,"https://iiif-cloud.princeton.edu/iiif/2/6a%2Fe7%2F1f%2F6ae71fb888164e23b751d0ae5b1bc43e%2Fintermediate_file/2121,1737,1940,1433/full/600,/0/default.jpg","https://iiif-cloud.princeton.edu/iiif/2/6a%2Fe7%2F1f%2F6ae71fb888164e23b751d0ae5b1bc43e%2Fintermediate_file/full/768,/0/default.jpg",122148,320,258,145,107,0.0,145
55,0.42835925806677144,acq:71109ce9-6ded-4521-8c45-24b9a2532335,2204,2203,"https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00008743%2F19%2FRB00008743_02204_0.ptif/1585,635,986,726/full/600,/0/default.jpg","https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00008743%2F19%2FRB00008743_02204_0.ptif/full/768,/0/default.jpg",102724,447,196,145,107,0.0,145
56,0.42849905376554226,acq:a1680dea-9a53-46e1-9b33-5e4c2e116a40,-,129,"https://iiif.wellcomecollection.org/image/b19553833_0130.jp2/209,420,249,182/full/600,/0/default.jpg","https://iiif.wellcomecollection.org/image/b19553833_0130.jp2/full/768,/0/default.jpg",142315,257,452,145,107,0.0,145
57,0.4287247651442273,acq:2723054f-d19b-42bd-98f7-2c2d5a1e3776,9226_0292_web.jpg,292,,https://openn.library.upenn.edu/Data/0023/lewis_o_126/data/web/9226_0292_web.jpg,37945,209,1243,145,107,0.0,145
58,0.42877552673215635,acq:344d37e7-c37a-45f0-95ad-d74eb2a4c248,Lower cover. outside,335,"https://iiif-cloud.princeton.edu/iiif/2/f1%2Fc6%2F79%2Ff1c679a73c5241e887f759d046919517%2Fintermediate_file/3442,961,1939,1357/full/600,/0/default.jpg","https://iiif-cloud.princeton.edu/iiif/2/f1%2Fc6%2F79%2Ff1c679a73c5241e887f759d046919517%2Fintermediate_file/full/768,/0/default.jpg",50743,505,163,150,105,5.0,145
59,0.4288224484867908,arc_die_historischen_und_philosophischen_handschriften_d,a,0,"https://digi.ub.uni-heidelberg.de/iiif/2/walz1999%3A00000a.jpg/1099,174,672,496/full/600,/0/default.jpg","https://digi.ub.uni-heidelberg.de/iiif/2/walz1999%3A00000a.jpg/full/768,/0/default.jpg",247475,453,101,145,107,0.0,145
60,0.4289039706084177,acq:4b125d0b-349a-42f8-b6ba-674db05c2fac,image 10,9,"https://iiif-cloud.princeton.edu/iiif/2/09%2Ff3%2F0f%2F09f30fd903814e40b3f3615c49055f34%2Fintermediate_file/2518,903,1202,841/full/600,/0/default.jpg","https://iiif-cloud.princeton.edu/iiif/2/09%2Ff3%2F0f%2F09f30fd903814e40b3f3615c49055f34%2Fintermediate_file/full/768,/0/default.jpg",71469,586,228,150,105,5.0,145
61,0.42894037483826075,acq:6eca1c0e-2f15-4bee-922e-5ae6c6cef435,(0046),45,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00106449_00046/458,1623,454,336/full/600,/0/default.jpg","https://api.digitale-sammlungen.de/iiif/image/v2/bsb00106449_00046/full/768,/0/default.jpg",97030,298,916,145,107,0.0,145
62,0.42902627859136455,acq:5fc14f3c-f5a1-4be7-92b3-84ffbe721b1a,9710_0372_web.jpg,372,,https://openn.library.upenn.edu/Data/0003/bv_051/data/web/9710_0372_web.jpg,86732,158,758,145,107,0.0,145
63,0.42922688122361713,urb_lat_281,59v-60r,62,"https://digi.vatlib.it/iiifimage/MSS_Urb.lat.281/Urb.lat.281_0063_fa_0059v-60r.jp2/2214,783,1424,1050/full/600,/0/default.jpg","https://digi.vatlib.it/iiifimage/MSS_Urb.lat.281/Urb.lat.281_0063_fa_0059v-60r.jp2/full/768,/0/default.jpg",537883,434,173,145,107,0.0,145
64,0.42922804852276986,zeg_paris_petit_palais_musee_des_beaux_arts_de_la_ville_,plat inférieur,1,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vtur8nxbcf5q/0,4,1746,1288/full/600,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vtur8nxbcf5q/full/768,/0/default.jpg",556319,12,38,145,107,0.0,145
65,0.42925240066896114,acq:e3fed553-8107-4536-9376-b650a7fd7755,image 25,24,"https://iiif-cloud.princeton.edu/iiif/2/c4%2F5e%2F13%2Fc45e13ad9f89429a964394707082cc09%2Fintermediate_file/788,936,1896,1400/full/600,/0/default.jpg","https://iiif-cloud.princeton.edu/iiif/2/c4%2F5e%2F13%2Fc45e13ad9f89429a964394707082cc09%2Fintermediate_file/full/768,/0/default.jpg",197320,153,159,145,107,0.0,145
66,0.42932801422144956,arc_ortus_sanitatis,379r (0760),759,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00027846_00760/409,2560,905,632/full/600,/0/default.jpg","https://api.digitale-sammlungen.de/iiif/image/v2/bsb00027846_00760/full/768,/0/default.jpg",269516,133,601,119,83,5.0,115
67,0.4293747438688297,mn_gotha_forschungsbibliothek_gotha_chart_a_13,urn:nbn:de:urmel-47190add-fe58-43c4-99c5-1154421770ee9-00014800-3459,344,"https://dhb.thulb.uni-jena.de/api/iiif/image/v2/ufb_derivate_00014800%2FChart-A-00013_00345.tif/576,3747,702,520/full/600,/0/default.jpg","https://dhb.thulb.uni-jena.de/api/iiif/image/v2/ufb_derivate_00014800%2FChart-A-00013_00345.tif/full/768,/0/default.jpg",453812,252,1349,145,107,0.0,145
68,0.4294374538155459,acq:71109ce9-6ded-4521-8c45-24b9a2532335,2280,2279,"https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00008743%2F20%2FRB00008743_02280_0.ptif/1745,455,986,726/full/600,/0/default.jpg","https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00008743%2F20%2FRB00008743_02280_0.ptif/full/768,/0/default.jpg",102800,487,151,145,107,0.0,145
69,0.4294432967450478,arc_medizinische_sammelhandschrift,200r,413,"https://digi.ub.uni-heidelberg.de/iiif/2/cpl1080%3A200r.jpg/939,668,512,379/full/600,/0/default.jpg","https://digi.ub.uni-heidelberg.de/iiif/2/cpl1080%3A200r.jpg/full/768,/0/default.jpg",264945,501,358,145,107,0.0,145
70,0.42950532405961245,reg_lat_1330,taglio.centrale,182,"https://digi.vatlib.it/iiifimage/MSS_Reg.lat.1330/Reg.lat.1330_0183_yl_taglio.centrale.jp2/118,441,167,117/full/600,/0/default.jpg","https://digi.vatlib.it/iiifimage/MSS_Reg.lat.1330/Reg.lat.1330_0183_yl_taglio.centrale.jp2/full/768,/0/default.jpg",532759,231,707,150,105,5.0,145
