rank,score,manuscript_id,folio_label,canvas_index,region_url,search_url,work_id,x,y,w,h,rotation_deg,base_width
87,0.4303553376465201,acq:7668070e-8c97-4ed2-b401-708cdf1bf417,fore-edge,445,"https://iiif-cloud.princeton.edu/iiif/2/08%2Fe3%2Fa3%2F08e3a38984f2418b8f76c0fec09f35aa%2Fintermediate_file/2297,1081,1435,1059/full/600,/0/default.jpg","https://iiif-cloud.princeton.edu/iiif/2/08%2Fe3%2Fa3%2F08e3a38984f2418b8f76c0fec09f35aa%2Fintermediate_file/full/768,/0/default.jpg",107626,445,223,145,107,0.0,145
88,0.4303717275381361,acq:d9a11f7c-eae6-4519-8271-9ad362438e2d, - ,2,"https://digi.landesbibliothek.at/viewer/api/v1/records/471/files/images/00000003.tif/1267,193,1260,930/full/600,/0/default.jpg","https://digi.landesbibliothek.at/viewer/api/v1/records/471/files/images/00000003.tif/full/768,/0/default.jpg",188462,298,75,145,107,0.0,145
89,0.43038461753695134,arc_the_follies_of_science_at_the_court_of_rudolph_ii_15,121,120,"https://iiif.archive.org/image/iiif/3/folliesofscience00boltrich%2Ffolliesofscience00boltrich_jp2.zip%2Ffolliesofscience00boltrich_jp2%2Ffolliesofscience00boltrich_0121.jp2/0,2554,773,569/full/600,/0/default.jpg","https://iiif.archive.org/image/iiif/3/folliesofscience00boltrich%2Ffolliesofscience00boltrich_jp2.zip%2Ffolliesofscience00boltrich_jp2%2Ffolliesofscience00boltrich_0121.jp2/full/768,/0/default.jpg",283563,15,852,145,107,0.0,145
90,0.430390313317005,zeg_aurillac_mediatheque_communautaire_2_8,f. 087 - vue 2,93,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vzkl57k7ypze/688,180,658,537/full/600,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vzkl57k7ypze/full/768,/0/default.jpg",544043,301,106,142,116,-5.0,145
91,0.4304698130705929,acq:adef9a22-b62b-4bae-91ed-39e2b6dd6c33,image 160,159,"https://iiif-cloud.princeton.edu/iiif/2/f9%2Ffa%2Fa6%2Ff9faa6012ab34756ac72fffb0bd4d56a%2Fintermediate_file/2438,692,1487,1095/full/600,/0/default.jpg","https://iiif-cloud.princeton.edu/iiif/2/f9%2Ffa%2Fa6%2Ff9faa6012ab34756ac72fffb0bd4d56a%2Fintermediate_file/full/768,/0/default.jpg",152148,455,152,145,107,0.0,145
92,0.4304700054506104,acq:e3fed553-8107-4536-9376-b650a7fd7755,image 274,273,"https://iiif-cloud.princeton.edu/iiif/2/5f%2F7e%2F02%2F5f7e02a680c44b91ae264e8d2cdecd86%2Fintermediate_file/3468,1262,1901,1404/full/600,/0/default.jpg","https://iiif-cloud.princeton.edu/iiif/2/5f%2F7e%2F02%2F5f7e02a680c44b91ae264e8d2cdecd86%2Fintermediate_file/full/768,/0/default.jpg",197590,500,201,145,107,0.0,145
93,0.4304759167991776,acq:68ef9516-68c1-45d9-a5a9-5b27c1cee9fd,512,511,"https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00015064%2F09%EF%BC%8610%2FRB00015064_00512_0.ptif/3479,1549,2079,1535/full/600,/0/default.jpg","https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00015064%2F09%EF%BC%8610%2FRB00015064_00512_0.ptif/full/768,/0/default.jpg",93205,463,221,145,107,0.0,145
94,0.4305569000063605,herb_59fe24a447cc,plat supérieur,0,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/ve0ykjhujuf8/4722,2805,2084,1537/full/600,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/ve0ykjhujuf8/full/768,/0/default.jpg",419067,609,369,145,107,0.0,145
95,0.4305595048117584,acq:cdb7ec03-367d-4f13-94cf-de3046a30e75,Upper cover. outside,0,"https://iiif-cloud.princeton.edu/iiif/2/00%2Fb6%2F31%2F00b63191928f46c78748df5d690abdfc%2Fintermediate_file/1735,470,1531,1129/full/600,/0/default.jpg","https://iiif-cloud.princeton.edu/iiif/2/00%2Fb6%2F31%2F00b63191928f46c78748df5d690abdfc%2Fintermediate_file/full/768,/0/default.jpg",182188,330,113,145,107,0.0,145
96,0.4306222960995077,acq:e3fed553-8107-4536-9376-b650a7fd7755,image 28,27,"https://iiif-cloud.princeton.edu/iiif/2/48%2Feb%2Ff5%2F48ebf54c4da54739a84f5460cde399f5%2Fintermediate_file/1134,2206,1896,1400/full/600,/0/default.jpg","https://iiif-cloud.princeton.edu/iiif/2/48%2Feb%2Ff5%2F48ebf54c4da54739a84f5460cde399f5%2Fintermediate_file/full/768,/0/default.jpg",197324,198,324,145,107,0.0,145
97,0.43062662600707075,acq:6c9f045d-e287-4d72-99dd-1e8454494436,Upper cover. outside,0,"https://iiif-cloud.princeton.edu/iiif/2/9b%2Fec%2Fbb%2F9becbb3b0e794255af925237cdf091d6%2Fintermediate_file/2328,6093,1663,1166/full/600,/0/default.jpg","https://iiif-cloud.princeton.edu/iiif/2/9b%2Fec%2Fbb%2F9becbb3b0e794255af925237cdf091d6%2Fintermediate_file/full/768,/0/default.jpg",95732,409,970,150,105,5.0,145
98,0.4306279412190592,mn_munchen_bayerische_staatsbibliothek_clm_14774,Vorderdeckel mit Buchrücken (0001),0,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00104019_00001/71,264,464,326/full/600,/0/default.jpg","https://api.digitale-sammlungen.de/iiif/image/v2/bsb00104019_00001/full/768,/0/default.jpg",494810,91,181,150,105,5.0,145
99,0.43063147620944586,arch_cod_339,Fore edge,371,"https://www.e-codices.unifr.ch/loris/bke/bke-0339/bke-0339_e004.jp2/1886,3595,1564,1153/full/600,/0/default.jpg","https://www.e-codices.unifr.ch/loris/bke/bke-0339/bke-0339_e004.jp2/full/768,/0/default.jpg",310593,348,604,145,107,0.0,145
100,0.43063694297846283,acq:68ef9516-68c1-45d9-a5a9-5b27c1cee9fd,755,754,"https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00015064%2F15%EF%BC%8616%2FRB00015064_00755_0.ptif/2711,1144,2079,1535/full/600,/0/default.jpg","https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00015064%2F15%EF%BC%8616%2FRB00015064_00755_0.ptif/full/768,/0/default.jpg",93448,372,173,145,107,0.0,145
